ts_code,trade_date,open,high,low,close,vol,amount,pct_chg,ma_short,ma_long,signal,trade,position,market_return,strategy_return,strategy_nav,buy_hold_nav,drawdown
600276.SH,2025-07-04,52.61,53.79,52.6,53.26,477923.12,2548289.616,1.5056,,,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
600276.SH,2025-07-07,53.38,53.59,52.56,52.65,286387.94,1516132.786,-1.1453,,,0,0.0,0.0,-0.011453248216297451,-0.0,1.0,0.9885467517837025,0.0
600276.SH,2025-07-08,52.69,53.69,52.5,53.4,359263.15,1916547.623,1.4245,,,0,0.0,0.0,0.014245014245014342,0.0,1.0,1.002628614344724,0.0
600276.SH,2025-07-09,53.4,57.94,53.02,57.19,1158211.69,6507788.433,7.0974,,,0,0.0,0.0,0.07097378277153554,0.0,1.0,1.073788959819752,0.0
600276.SH,2025-07-10,57.13,58.28,56.61,57.6,903715.7,5204345.946,0.7169,54.82000000000001,,0,0.0,0.0,0.0071690855044588275,0.0,1.0,1.0814870446864437,0.0
600276.SH,2025-07-11,57.51,58.12,56.88,56.9,658631.71,3779524.292,-1.2153,55.548,,0,0.0,0.0,-0.01215277777777779,-0.0,1.0,1.0683439729628237,0.0
600276.SH,2025-07-14,56.75,58.05,56.56,57.21,473758.36,2714468.293,0.5448,56.46,,0,0.0,0.0,0.005448154657293536,0.0,1.0,1.0741644761547127,0.0
600276.SH,2025-07-15,57.25,57.53,56.52,57.22,436928.47,2491977.102,0.0175,57.224000000000004,,0,0.0,0.0,0.00017479461632574633,0.0,1.0,1.074352234322193,0.0
600276.SH,2025-07-16,57.65,58.9,57.04,57.22,398191.2,2293530.537,0.0,57.23,,0,0.0,0.0,0.0,0.0,1.0,1.074352234322193,0.0
600276.SH,2025-07-17,56.9,57.9,56.84,57.73,444146.28,2553187.389,0.8913,57.25599999999999,,0,0.0,0.0,0.008912967493883261,0.0,1.0,1.0839279008636875,0.0
600276.SH,2025-07-18,58.21,59.86,57.9,58.76,660985.65,3881474.081,1.7842,57.628,,0,0.0,0.0,0.017841676771176207,0.0,1.0,1.103266992114157,0.0
600276.SH,2025-07-21,58.5,58.8,57.68,58.0,509441.85,2960736.582,-1.2934,57.786,,0,0.0,0.0,-0.012933968686181019,-0.0,1.0,1.0889973713856553,0.0
600276.SH,2025-07-22,58.0,58.85,57.2,57.41,475570.25,2753253.571,-1.0172,57.824,,0,0.0,0.0,-0.010172413793103519,-0.0,1.0,1.0779196395043185,0.0
600276.SH,2025-07-23,57.2,58.08,56.87,57.13,425295.11,2440208.239,-0.4877,57.806000000000004,,0,0.0,0.0,-0.004877199094234341,-0.0,1.0,1.0726624108148706,0.0
600276.SH,2025-07-24,57.44,57.98,56.95,57.5,465834.15,2670846.698,0.6476,57.760000000000005,56.611999999999995,1,1.0,0.0,0.0064764572028706,0.0,1.0,1.079609463011641,0.0
600276.SH,2025-07-25,57.5,57.55,56.35,56.4,505394.23,2873987.055,-1.913,57.288,56.82133333333333,1,0.0,1.0,-0.019130434782608674,-0.020130434782608675,0.9798695652173913,1.0589560645888096,-0.020130434782608675
600276.SH,2025-07-28,60.1,62.04,59.66,62.04,1630095.95,9943549.097,10.0,58.096000000000004,57.44733333333333,1,0.0,1.0,0.10000000000000009,0.10000000000000009,1.0778565217391305,1.1648516710476906,0.0
600276.SH,2025-07-29,63.0,65.43,62.13,63.8,1682768.89,10731327.179,2.8369,59.374,58.14066666666667,1,0.0,1.0,0.028368794326241176,0.028368794326241176,1.1084340117175455,1.197897108524221,0.0
600276.SH,2025-07-30,63.81,64.73,62.65,63.59,980849.33,6247901.661,-0.3292,60.666,58.56733333333333,1,0.0,1.0,-0.0032915360501566404,-0.0032915360501566404,1.1047855612087574,1.193954187007135,-0.0032915360501567514
600276.SH,2025-07-31,63.4,64.25,62.5,62.9,742038.75,4690208.201,-1.0851,61.746,58.92066666666666,1,0.0,1.0,-0.010850762698537575,-0.010850762698537575,1.0927977952513104,1.1809988734509953,-0.014106583072100443
600276.SH,2025-08-01,62.83,63.58,60.76,61.31,734654.64,4545894.531,-2.5278,62.727999999999994,59.214666666666666,1,0.0,1.0,-0.025278219395866386,-0.025278219395866386,1.0651738128276287,1.15114532482163,-0.03902821316614424
600276.SH,2025-08-04,60.6,62.05,60.0,62.0,689613.49,4217834.709,1.1254,62.720000000000006,59.534,1,0.0,1.0,0.011254281520143516,0.011254281520143516,1.0771615787850755,1.1641006383777697,-0.028213166144200774
600276.SH,2025-08-05,62.11,62.46,61.56,62.3,541443.18,3356911.222,0.4839,62.42,59.87266666666667,1,0.0,1.0,0.004838709677419395,0.004838709677419395,1.082373650940487,1.1697333834021784,-0.023510971786834034
600276.SH,2025-08-06,62.19,62.55,61.38,61.58,572478.61,3539622.159,-1.1557,62.017999999999994,60.163333333333334,1,0.0,1.0,-0.011556982343499222,-0.011556982343499222,1.0698646777674992,1.1562147953435977,-0.034796238244514166
600276.SH,2025-08-07,61.25,62.1,60.7,60.81,504763.97,3088025.792,-1.2504,61.6,60.36866666666666,1,0.0,1.0,-0.012504059759662178,-0.012504059759662178,1.0564870259019425,1.1417574164476159,-0.046865203761755625
600276.SH,2025-08-08,60.7,61.13,60.0,60.99,362970.73,2203721.883,0.296,61.536,60.51733333333333,1,0.0,1.0,0.002960039467192921,0.002960039467192921,1.0596142691951895,1.145137063462261,-0.044043887147335536
600276.SH,2025-08-11,60.99,61.42,60.68,61.07,425752.38,2600063.209,0.1312,61.35,60.722,1,0.0,1.0,0.001311690441055946,0.001311690441055946,1.0610041551032994,1.1466391288021034,-0.04278996865203766
600276.SH,2025-08-12,61.32,61.45,60.26,60.85,391834.75,2380971.082,-0.3602,61.06,60.95133333333333,1,0.0,1.0,-0.0036024234485017015,-0.0036024234485017015,1.0571819688559976,1.1425084491175372,-0.04623824451410663
600276.SH,2025-08-13,60.85,63.51,60.85,62.61,815296.32,5079201.588,2.8924,61.266000000000005,61.31666666666667,0,-1.0,1.0,0.02892358258011507,0.02892358258011507,1.0877594588344126,1.1755538865940676,-0.01865203761755485
600276.SH,2025-08-14,62.85,63.6,62.36,62.82,571266.47,3597162.01,0.3354,61.668000000000006,61.67133333333334,0,0.0,0.0,0.0033540967896501517,-0.001,1.0866716993755783,1.1794968081111534,-0.019633385579937213
600276.SH,2025-08-15,62.64,64.27,62.46,63.4,614932.54,3908038.788,0.9233,62.15,62.138000000000005,1,1.0,0.0,0.009232728430436099,0.0,1.0866716993755783,1.19038678182501,-0.019633385579937213
600276.SH,2025-08-18,63.4,63.95,62.81,63.08,728857.56,4616557.07,-0.5047,62.552,62.20733333333333,1,0.0,1.0,-0.0050473186119873725,-0.0060473186119873725,1.0801002493828245,1.184378520465641,-0.025561974853890668
600276.SH,2025-08-19,63.4,65.4,61.63,61.69,997700.49,6322095.612,-2.2036,62.71999999999999,62.06666666666667,1,0.0,1.0,-0.022035510462904306,-0.022035510462904306,1.0562996890365637,1.1582801351858811,-0.04703421415244957
600276.SH,2025-08-20,61.66,62.97,61.11,62.85,650424.42,4025484.233,1.8804,62.76800000000001,62.01733333333333,1,0.0,1.0,0.018803695898849115,0.018803695898849115,1.076162027167256,1.1800600826135943,-0.02911493531336451
600276.SH,2025-08-21,63.98,65.33,62.95,63.99,858629.23,5507421.603,1.8138,63.001999999999995,62.09,1,0.0,1.0,0.018138424821002364,0.018138424821002364,1.095681911192247,1.2014645137063469,-0.011504609557711931
600276.SH,2025-08-22,64.71,65.2,63.83,64.98,637718.91,4115097.233,1.5471,63.318000000000005,62.334666666666664,1,0.0,1.0,0.015471167369901506,0.015471167369901506,1.1126333894244758,1.2200525722868951,0.0
600276.SH,2025-08-25,64.98,66.4,64.37,66.26,849233.81,5551997.681,1.9698,63.95399999999999,62.61866666666666,1,0.0,1.0,0.019698368728839677,0.019698368728839677,1.1345504521893777,1.2440856177243718,0.0
