公司,代码,周期,累计回报,最大回撤,夏普比率,交易次数,买入持有
恒瑞医药,600276.SH,3/10,-0.212966728906399,-0.39000902124278103,-0.9405163251127437,33,0.02234322193015581
恒瑞医药,600276.SH,5/15,0.013008404635392434,-0.2733328302309177,0.1751055813268973,19,0.02234322193015581
恒瑞医药,600276.SH,10/30,-0.11154900662465606,-0.2632110793577559,-0.549099680050374,9,0.02234322193015581
恒瑞医药,600276.SH,20/60,-0.2060848952640041,-0.2060848952640041,-1.986340789262549,6,0.02234322193015581
百济神州,688235.SH,3/10,0.05360705460481596,-0.23511925506803788,0.32531189815275235,29,0.1625152412471702
百济神州,688235.SH,5/15,0.041529533043039635,-0.3373974901618171,0.2887550383382205,19,0.1625152412471702
百济神州,688235.SH,10/30,0.023232696217175608,-0.28093884763983457,0.22526133182860128,11,0.1625152412471702
百济神州,688235.SH,20/60,-0.3246218789676222,-0.3246218789676222,-1.838103455792205,6,0.1625152412471702
君实生物,688180.SH,3/10,0.06762668466956256,-0.31073228061083025,0.36247588642532513,27,-0.05521014672966962
君实生物,688180.SH,5/15,0.35260266801872975,-0.3155999344005319,1.0464960297772667,15,-0.05521014672966962
君实生物,688180.SH,10/30,0.03966824805265623,-0.24673793529648613,0.2812841896145321,7,-0.05521014672966962
君实生物,688180.SH,20/60,-0.4241802333823137,-0.4241802333823137,-2.7325405430803626,6,-0.05521014672966962
复星医药,600196.SH,3/10,-0.09579285986529718,-0.23929836103802848,-0.493892899282512,27,-0.08415257569799262
复星医药,600196.SH,5/15,-0.009335273687703483,-0.20141776506636477,0.03585245065603681,17,-0.08415257569799262
复星医药,600196.SH,10/30,-0.057677559012613844,-0.17938934601991052,-0.35004245092141767,7,-0.08415257569799262
复星医药,600196.SH,20/60,-0.09648023488599011,-0.09648023488599011,-1.4015690342278528,6,-0.08415257569799262
