,importance
MV,0.11782986759020947
基本每股收益(同比增长率),0.09319581483549323
营业总收入(同比增长率),0.08671724216740474
市净率PB(MRQ),0.07509835006034941
净利润同比增长率,0.07042324756776136
利润总额(同比增长率),0.05878770292892244
现金净流量同比增长率,0.053213912107293274
营业利润(同比增长率),0.05183650820057445
市销率PS(TTM),0.050572973747332856
企业倍数(EV除EBITDA),0.04988602461994863
净资产同比增长率,0.046912363929374534
市盈率PE(TTM),0.046224770107086144
"市盈率PE(TTM,扣除非经常性损益)",0.04592967142569258
市现率PCF(经营现金流TTM),0.04067674106487558
股息率(近12个月),0.03924497489377981
总资产同比增长率,0.03741055074410377
市现率PCF(现金净流量TTM),0.036039284009797654
