ts_code,trade_date,open,high,low,close,vol,amount,pct_chg
600276.SH,20250704,52.61,53.79,52.6,53.26,477923.12,2548289.616,1.5056
600276.SH,20250707,53.38,53.59,52.56,52.65,286387.94,1516132.786,-1.1453
600276.SH,20250708,52.69,53.69,52.5,53.4,359263.15,1916547.623,1.4245
600276.SH,20250709,53.4,57.94,53.02,57.19,1158211.69,6507788.433,7.0974
600276.SH,20250710,57.13,58.28,56.61,57.6,903715.7,5204345.946,0.7169
600276.SH,20250711,57.51,58.12,56.88,56.9,658631.71,3779524.292,-1.2153
600276.SH,20250714,56.75,58.05,56.56,57.21,473758.36,2714468.293,0.5448
600276.SH,20250715,57.25,57.53,56.52,57.22,436928.47,2491977.102,0.0175
600276.SH,20250716,57.65,58.9,57.04,57.22,398191.2,2293530.537,0.0
600276.SH,20250717,56.9,57.9,56.84,57.73,444146.28,2553187.389,0.8913
600276.SH,20250718,58.21,59.86,57.9,58.76,660985.65,3881474.081,1.7842
600276.SH,20250721,58.5,58.8,57.68,58.0,509441.85,2960736.582,-1.2934
600276.SH,20250722,58.0,58.85,57.2,57.41,475570.25,2753253.571,-1.0172
600276.SH,20250723,57.2,58.08,56.87,57.13,425295.11,2440208.239,-0.4877
600276.SH,20250724,57.44,57.98,56.95,57.5,465834.15,2670846.698,0.6476
600276.SH,20250725,57.5,57.55,56.35,56.4,505394.23,2873987.055,-1.913
600276.SH,20250728,60.1,62.04,59.66,62.04,1630095.95,9943549.097,10.0
600276.SH,20250729,63.0,65.43,62.13,63.8,1682768.89,10731327.179,2.8369
600276.SH,20250730,63.81,64.73,62.65,63.59,980849.33,6247901.661,-0.3292
600276.SH,20250731,63.4,64.25,62.5,62.9,742038.75,4690208.201,-1.0851
600276.SH,20250801,62.83,63.58,60.76,61.31,734654.64,4545894.531,-2.5278
600276.SH,20250804,60.6,62.05,60.0,62.0,689613.49,4217834.709,1.1254
600276.SH,20250805,62.11,62.46,61.56,62.3,541443.18,3356911.222,0.4839
