ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600031.SH,20250102,16.48,16.48,15.69,15.77,16.48,-0.71,-4.3083,853894.28,1368558.133
600031.SH,20250103,15.85,16.0,15.55,15.6,15.77,-0.17,-1.078,534033.71,842151.57
600031.SH,20250106,15.6,15.71,15.42,15.58,15.6,-0.02,-0.1282,454873.82,707452.833
600031.SH,20250107,15.59,15.64,15.43,15.52,15.58,-0.06,-0.3851,393682.19,611079.078
600031.SH,20250108,15.57,15.71,15.26,15.57,15.52,0.05,0.3222,573354.64,888892.453
600031.SH,20250109,15.51,15.56,15.32,15.37,15.57,-0.2,-1.2845,357776.55,551312.715
600031.SH,20250110,15.42,15.71,15.38,15.44,15.37,0.07,0.4554,467712.6,727772.401
600031.SH,20250113,15.39,15.7,15.23,15.31,15.44,-0.13,-0.842,384318.12,592609.973
600031.SH,20250114,15.31,15.85,15.3,15.8,15.31,0.49,3.2005,590312.54,925532.19
600031.SH,20250115,15.8,15.8,15.38,15.4,15.8,-0.4,-2.5316,543389.11,843185.8
600031.SH,20250116,15.49,15.8,15.44,15.54,15.4,0.14,0.9091,542228.15,847230.101
600031.SH,20250117,15.49,15.54,15.31,15.42,15.54,-0.12,-0.7722,426413.35,657250.287
600031.SH,20250120,15.5,16.06,15.5,15.92,15.42,0.5,3.2425,963356.38,1530045.633
600031.SH,20250121,16.05,16.23,15.88,16.21,15.92,0.29,1.8216,629239.09,1016548.149
600031.SH,20250122,16.21,16.33,16.0,16.1,16.21,-0.11,-0.6786,479082.6,772633.831
600031.SH,20250123,16.21,16.26,16.02,16.07,16.1,-0.03,-0.1863,421624.11,679202.056
600031.SH,20250124,16.06,16.29,16.01,16.2,16.07,0.13,0.809,361406.49,585630.964
600031.SH,20250127,16.29,16.34,16.1,16.1,16.2,-0.1,-0.6173,302234.69,488912.395
600031.SH,20250205,16.1,16.17,15.78,15.81,16.1,-0.29,-1.8012,450016.98,713063.047
600031.SH,20250206,15.79,15.87,15.58,15.76,15.81,-0.05,-0.3163,553644.78,869586.767
600031.SH,20250207,15.78,16.8,15.64,16.75,15.76,0.99,6.2817,1304535.45,2129487.598
600031.SH,20250210,16.71,17.05,16.62,16.99,16.75,0.24,1.4328,983276.22,1664804.717
600031.SH,20250211,16.98,17.06,16.84,16.88,16.99,-0.11,-0.6474,492631.29,833681.769
600031.SH,20250212,16.84,17.12,16.76,16.99,16.88,0.11,0.6517,507705.32,860584.288
600031.SH,20250213,17.0,17.2,16.9,16.96,16.99,-0.03,-0.1766,580842.53,990681.003
600031.SH,20250214,16.99,17.48,16.98,17.46,16.96,0.5,2.9481,1061950.65,1842907.122
600031.SH,20250217,17.45,17.52,17.13,17.36,17.46,-0.1,-0.5727,705108.88,1219254.121
600031.SH,20250218,17.32,17.46,16.93,17.04,17.36,-0.32,-1.8433,703328.25,1209116.572
600031.SH,20250219,17.07,17.57,17.04,17.45,17.04,0.41,2.4061,857545.07,1495324.78
600031.SH,20250220,17.48,17.7,17.29,17.65,17.45,0.2,1.1461,793701.63,1391269.821
600031.SH,20250221,17.6,17.76,17.24,17.68,17.65,0.03,0.17,979194.6,1715682.115
600031.SH,20250224,17.7,17.95,17.65,17.84,17.68,0.16,0.905,695859.41,1239761.456
600031.SH,20250225,17.72,18.18,17.61,17.9,17.84,0.06,0.3363,805857.16,1447158.243
600031.SH,20250226,17.88,18.18,17.73,17.79,17.9,-0.11,-0.6145,661486.15,1186667.988
600031.SH,20250227,17.76,18.13,17.71,18.02,17.79,0.23,1.2929,814638.24,1463890.156
600031.SH,20250228,17.93,18.5,17.91,18.2,18.02,0.18,0.9989,1371673.92,2514994.108
600031.SH,20250303,18.25,19.38,18.25,18.8,18.2,0.6,3.2967,1514306.87,2880689.116
600031.SH,20250304,18.7,18.95,18.52,18.84,18.8,0.04,0.2128,695432.69,1306371.554
600031.SH,20250305,19.45,20.0,19.38,19.68,18.84,0.84,4.4586,2198570.11,4353081.527
600031.SH,20250306,19.45,19.76,19.2,19.66,19.68,-0.02,-0.1016,1336008.58,2606592.05
600031.SH,20250307,19.64,19.96,19.41,19.86,19.66,0.2,1.0173,939235.12,1860063.48
600031.SH,20250310,20.2,20.55,20.0,20.47,19.86,0.61,3.0715,2106416.73,4285481.925
600031.SH,20250311,20.27,20.75,20.23,20.54,20.47,0.07,0.342,1278628.92,2622766.483
600031.SH,20250312,20.5,20.73,20.15,20.16,20.54,-0.38,-1.85,1069072.91,2169686.857
600031.SH,20250313,20.05,20.18,19.85,20.04,20.16,-0.12,-0.5952,925549.26,1850235.713
600031.SH,20250314,20.04,20.58,20.04,20.49,20.04,0.45,2.2455,1210653.1,2473326.496
600031.SH,20250317,20.48,20.59,20.19,20.43,20.49,-0.06,-0.2928,1092036.46,2231435.756
600031.SH,20250318,20.48,20.48,19.74,19.92,20.43,-0.51,-2.4963,1121807.36,2237241.576
600031.SH,20250319,19.75,20.09,19.73,20.0,19.92,0.08,0.4016,656803.87,1312403.023
600031.SH,20250320,20.3,20.55,19.8,19.85,20.0,-0.15,-0.75,796322.1,1594441.044
600031.SH,20250321,19.85,19.95,19.54,19.59,19.85,-0.26,-1.3098,541886.76,1066483.294
600031.SH,20250324,19.7,20.14,19.63,19.96,19.59,0.37,1.8887,617320.5,1228750.574
600031.SH,20250325,20.0,20.06,19.53,19.56,19.96,-0.4,-2.004,545097.7,1075685.161
600031.SH,20250326,19.6,19.65,19.05,19.29,19.56,-0.27,-1.3804,751218.9,1449622.215
600031.SH,20250327,19.2,19.33,19.1,19.25,19.29,-0.04,-0.2074,317038.64,609473.214
600031.SH,20250328,19.28,19.48,19.11,19.25,19.25,0.0,0.0,432751.83,831958.066
600031.SH,20250331,19.23,19.28,18.93,19.07,19.25,-0.18,-0.9351,404810.23,772189.438
600031.SH,20250401,19.15,19.2,18.83,18.93,19.07,-0.14,-0.7341,372331.3,706317.072
600031.SH,20250402,18.89,19.44,18.88,19.36,18.93,0.43,2.2715,535948.34,1034269.275
600031.SH,20250403,19.2,19.32,18.89,19.1,19.36,-0.26,-1.343,411313.69,786068.079
600031.SH,20250407,18.15,18.45,17.49,18.0,19.1,-1.1,-5.7592,1211637.53,2174458.522
600031.SH,20250408,18.2,18.55,17.8,18.55,18.0,0.55,3.0556,1231862.5,2249528.296
600031.SH,20250409,18.39,19.12,18.15,19.12,18.55,0.57,3.0728,1088675.06,2037459.402
600031.SH,20250410,19.4,19.41,18.8,19.1,19.12,-0.02,-0.1046,801014.98,1526645.635
600031.SH,20250411,18.91,19.39,18.91,19.31,19.1,0.21,1.0995,482423.71,926743.118
600031.SH,20250414,19.31,19.39,18.81,18.89,19.31,-0.42,-2.175,659575.9,1254313.921
600031.SH,20250415,18.89,18.98,18.5,18.96,18.89,0.07,0.3706,498659.89,934753.52
600031.SH,20250416,18.95,19.1,18.43,19.1,18.96,0.14,0.7384,596409.43,1118508.24
600031.SH,20250417,18.95,19.16,18.83,19.06,19.1,-0.04,-0.2094,433571.23,823346.74
600031.SH,20250418,19.05,19.23,18.8,19.19,19.06,0.13,0.6821,364503.89,694159.637
600031.SH,20250421,19.08,19.4,18.91,19.23,19.19,0.04,0.2084,381040.22,731202.525
600031.SH,20250422,19.23,19.23,18.94,18.95,19.23,-0.28,-1.4561,330581.23,628462.385
600031.SH,20250423,19.01,19.64,18.98,19.4,18.95,0.45,2.3747,719919.72,1395551.262
600031.SH,20250424,19.42,19.65,19.03,19.05,19.4,-0.35,-1.8041,428221.56,825620.533
600031.SH,20250425,19.2,19.24,18.96,19.09,19.05,0.04,0.21,294040.99,560318.175
600031.SH,20250428,19.09,19.38,19.0,19.05,19.09,-0.04,-0.2095,290181.43,556163.009
600031.SH,20250429,18.96,19.25,18.96,19.19,19.05,0.14,0.7349,344705.47,659630.045
600031.SH,20250430,19.48,19.56,18.88,18.89,19.19,-0.3,-1.5633,704212.24,1347148.465
